calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,load_mae_kwh,pv_mae_kwh,net_load_mae_kwh,quantile_coverage,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_actual_cost_yuan,selected,selection_role
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m2,0.7,23.54920406332671,35.140201562499996,50.01313828125001,0.4252369929453263,26408.697614618217,12394.80936041322,1324.744577699874,38803.50697503144,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m2,0.8,23.54920406332671,35.140201562499996,50.01313828125001,0.4252369929453263,26967.787339630344,12222.347392274478,1561.7576976495873,39190.13473190484,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m2,0.9,23.54920406332671,35.140201562499996,50.01313828125001,0.4252369929453263,28480.114979847654,11840.845206014756,2619.0252313021156,40320.96018586242,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m3,0.6,23.59978569527116,33.978234547430084,49.17426054126512,0.4168354552469135,25905.269335961788,12692.777120690138,1156.8837231571772,38598.04645665193,True,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m3,0.7,23.59978569527116,33.978234547430084,49.17426054126512,0.4168354552469135,26387.015482167848,12581.565259243145,1323.7703852226168,38968.580741411,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m3,0.8,23.59978569527116,33.978234547430084,49.17426054126512,0.4168354552469135,27242.16169710885,12164.647718613265,1645.5114844956245,39406.80941572211,False,diagnostic_only
2025-05-07,2025-05-06,2025-05-07,2025-05-20,m3,0.9,23.59978569527116,33.978234547430084,49.17426054126512,0.4168354552469135,28770.060751143777,11863.061335572467,2748.3773829124357,40633.12208671624,False,diagnostic_only
2025-05-21,2025-05-20,2025-05-21,2025-06-03,m1,0.6,24.362228337880286,28.977686581160242,44.90460914735687,0.429804618606702,26880.150834534466,12055.860160231367,1128.2867944051652,38936.01099476584,True,diagnostic_only
2025-05-21,2025-05-20,2025-05-21,2025-06-03,m1,0.7,24.362228337880286,28.977686581160242,44.90460914735687,0.429804618606702,27156.34609380649,12194.451650514993,1189.997186724241,39350.79774432148,False,diagnostic_only
2025-05-21,2025-05-20,2025-05-21,2025-06-03,m1,0.8,24.362228337880286,28.977686581160242,44.90460914735687,0.429804618606702,28075.309765153175,12219.220647670081,1653.3739949451988,40294.530412823246,False,diagnostic_only
