date,forecast_mode,risk_alpha,scenario_k,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,emergency_kwh,used_full_day_actual_lp,future_actuals_in_optimizer,pass,fallback_reason,include_value_cuts
2025-11-03,m3,0.6,8,8470.129998749031,8409.974154232243,43367.87255146215,5914.9865001898415,49282.85905165199,675.323498802104,2112.081653781557,False,False,True,,True
2025-11-04,m3,0.6,8,8409.974154232243,8448.736116509066,43465.78067645392,5245.353554077575,48711.1342305315,1727.3958781055426,1103.7701227840166,False,False,True,,True
2025-11-05,m1,0.6,8,8448.736116509066,8418.99015205478,43419.14778374173,7474.934651320592,50894.08243506232,472.0102488554362,1955.8491966921388,False,False,True,,True
2025-11-06,m1,0.6,8,8418.99015205478,5319.603484973133,42068.49677246481,13973.384375906728,56041.88114837154,680.6758814611592,3839.0634764836523,False,False,True,,True
2025-11-07,m1,0.6,8,5319.603484973133,5426.034984533401,18443.049178327157,2896.228696411147,21339.277874738305,1672.4822768711429,841.0140778084844,False,False,True,,True
2025-11-08,m1,0.6,8,5426.034984533401,8436.132047827836,19642.81755781918,992.0276776658269,20634.84523548501,1319.5728905528504,392.7489881409856,False,False,True,,True
2025-11-09,m1,0.6,8,8436.132047827836,8437.88464168863,44224.58579070067,10025.928928932804,54250.51471963347,600.44838127876,2687.9153462492704,False,False,True,,True
2025-11-10,m1,0.6,8,8437.88464168863,8448.025843834232,44477.436519448194,15863.227649307017,60340.66416875521,221.18715318554723,4382.9265698948475,False,False,True,,True
2025-11-11,m1,0.6,8,8448.025843834232,8314.85741090976,44755.458444328586,7496.931501354146,52252.389945682735,522.2324860385389,1798.2779081974472,False,False,True,,True
2025-11-12,m1,0.6,8,8314.85741090976,8464.150598317616,45148.80851246469,6303.106086176256,51451.91459864094,964.1908394685507,1462.2315517759096,False,False,True,,True
2025-11-13,m1,0.6,8,8464.150598317616,6076.225092030698,44063.80021713533,10672.65981996384,54736.46003709917,1143.1041560563756,3000.0395681027658,False,False,True,,True
2025-11-14,m1,0.6,8,6076.225092030698,6002.337652789678,18682.733957469274,4704.344772851033,23387.078730320307,959.7868825159296,1558.717048288316,False,False,True,,True
