date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-08-17,41849.55640686614,0.0,41849.55640686614,65079.974375327954,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004862333997152746,True
2025-08-18,42393.63043993145,0.0,42393.63043993145,66360.92984569832,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005250082991551608,True
2025-08-19,42341.402993505166,0.0,42341.402993505166,66170.52836606868,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.0050145830027759075,True
2025-08-20,45433.07588338527,0.0,45433.07588338527,72793.43252102628,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00506624998524785,True
2025-08-21,42854.28194882959,0.0,42854.28194882959,67705.78750495758,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005006791005143896,True
2025-08-22,22665.581402224532,0.0,22665.581402224532,38910.82377760395,0.0,16358.985837461189,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004864459013333544,True
2025-08-23,22099.596447655087,0.0,22099.596447655087,38233.8130720484,0.0,14400.114320794513,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004840415989747271,True
2025-08-24,42847.53327525318,0.0,42847.53327525318,66541.00525167803,0.0,810.9174874611867,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004949499998474494,True
2025-08-25,45892.33942361848,0.0,45892.33942361848,72816.13268088351,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005068792001111433,True
2025-08-26,43107.63031930626,0.0,43107.63031930626,67514.10471792055,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004905041976599023,True
