calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-11-05,2025-11-04,4,2,2025-11-05,2025-11-18,35745.371176263776,3209.9658995209306,14,12304.555750486488,0.039530497135794054,True,False,False,
2025-11-05,2025-11-04,6,2,2025-11-05,2025-11-18,35162.075516622914,3221.203172007195,14,9483.052206151797,0.056127627775172835,True,False,False,
2025-11-05,2025-11-04,8,2,2025-11-05,2025-11-18,35425.60651154249,3097.9999005423533,14,10358.083980413812,0.07888546721369494,True,False,False,
2025-11-05,2025-11-04,10,2,2025-11-05,2025-11-18,34863.314235555044,3318.298311922094,14,8778.321104063916,0.1061265237866402,True,False,False,
2025-11-05,2025-11-04,12,2,2025-11-05,2025-11-18,35394.46319286713,3252.378955121503,14,10706.13975781144,0.15646489570956743,True,False,False,
2025-11-19,2025-11-18,2,2,2025-11-19,2025-12-02,37677.73293138693,3814.018986584927,14,8729.776007426477,0.024537815354830985,True,True,True,
2025-11-19,2025-11-18,4,2,2025-11-19,2025-12-02,37115.1694784633,3778.8129429525275,14,7544.201138267886,0.041308655066781545,True,False,False,
2025-11-19,2025-11-18,6,2,2025-11-19,2025-12-02,37076.68866075528,3768.2760582532724,14,8518.954740067327,0.0627015327211536,True,False,False,
2025-11-19,2025-11-18,8,2,2025-11-19,2025-12-02,37009.593102416,3754.3098919014383,14,8051.966908626057,0.08148434213944711,True,False,False,
2025-11-19,2025-11-18,10,2,2025-11-19,2025-12-02,36996.720069113006,3766.7657625632705,14,8081.40511508341,0.11294684235222771,True,False,False,
2025-11-19,2025-11-18,12,2,2025-11-19,2025-12-02,36856.56981155368,3758.7212978305665,14,6588.490376208796,0.13984095535124652,True,False,False,
2025-12-03,2025-12-02,2,2,2025-12-03,2025-12-16,43041.36767192049,5320.454224516322,14,23159.74886878809,0.024759261999861337,True,True,True,
2025-12-03,2025-12-02,4,2,2025-12-03,2025-12-16,42512.82364317255,5250.410019327114,14,21121.989322918023,0.04190720229235012,True,False,False,
2025-12-03,2025-12-02,6,2,2025-12-03,2025-12-16,42446.02136994776,5254.83134371261,14,20488.244409036233,0.06577633335837163,True,False,False,
2025-12-03,2025-12-02,8,2,2025-12-03,2025-12-16,42243.365263433625,5208.2518513815385,14,19562.25126750704,0.0857471012111221,True,False,False,
2025-12-03,2025-12-02,10,2,2025-12-03,2025-12-16,42205.9209914977,5193.483945900581,14,19577.187572537056,0.11829611606247324,True,False,False,
2025-12-03,2025-12-02,12,2,2025-12-03,2025-12-16,42172.57567711952,5187.054904166685,14,19208.0695224967,0.15299905364268593,True,False,False,
2025-12-17,2025-12-16,2,2,2025-12-17,2025-12-30,50407.11355803158,4441.837078175217,14,35292.069075908454,0.02454122364205042,True,True,True,
2025-12-17,2025-12-16,4,2,2025-12-17,2025-12-30,50334.42740450654,4424.989456431447,14,34463.089183278906,0.04011867278937383,True,False,False,
2025-12-17,2025-12-16,6,2,2025-12-17,2025-12-30,49287.78761035771,4387.700351583904,14,27795.92496233712,0.06377335414332005,True,False,False,
2025-12-17,2025-12-16,8,2,2025-12-17,2025-12-30,48791.655120716736,4562.739213091412,14,22712.737843844217,0.08111283635662403,True,False,False,
2025-12-17,2025-12-16,10,2,2025-12-17,2025-12-30,49489.5571468555,4402.128816939424,14,28571.720655028093,0.11194025300418227,True,False,False,
2025-12-17,2025-12-16,12,2,2025-12-17,2025-12-30,47594.41911069829,4465.062940954372,14,13423.960929090534,0.1447364880067263,True,False,False,
2025-12-31,2025-12-30,2,2,2025-12-31,2025-12-31,47092.706096675094,4401.166951925173,14,1228.6485230428484,0.025886955425708687,True,True,True,
2025-12-31,2025-12-30,4,2,2025-12-31,2025-12-31,47927.81384026255,4428.269873874533,14,313.6031141769048,0.04018519914825447,True,False,False,
2025-12-31,2025-12-30,6,2,2025-12-31,2025-12-31,47475.80266953929,4423.46829988834,14,226.12652687158533,0.06646446413651574,True,False,False,
2025-12-31,2025-12-30,8,2,2025-12-31,2025-12-31,47805.2052014756,4384.464930999271,14,353.57601656016027,0.08930695521952917,True,False,False,
2025-12-31,2025-12-30,10,2,2025-12-31,2025-12-31,47788.12785116134,4452.831038374915,14,163.54422566774116,0.12397840164651695,True,False,False,
2025-12-31,2025-12-30,12,2,2025-12-31,2025-12-31,48434.291630226,4441.492262462875,14,196.04738004264578,0.15511595221635485,True,False,False,
