date,selected_k,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,pass
2025-04-19,2,25203.82513999339,1347.9542249300582,26551.779364923448,35060.52876369047,0627bfa5e1575f92a39a3b98576de500fa0b40d5156fd539f9ec2b0231eaa857,33317.787501785715,1742.7412619047623,438.72088154761894,26971.829133333333,5.684341886080802e-14,0.0,True
2025-04-20,2,47945.74720701024,3813.5795735875017,51759.32678059774,61684.4027595238,b34732f3c6885f1b5e4075463b67057b8deb10ab088abbefffb9626d12c41f88,59325.110819642854,2359.291939880951,899.2585136904765,8266.62445,1.1368683772161603e-13,0.0,True
2025-04-21,2,47640.9561276622,2647.0309484705363,50287.98707613273,61407.00757559523,d1e45591037e94281a62cdc634f690657a3cedb59cf56d097e8764dd750db5ca,58304.65982083332,3102.347754761904,762.9763791666669,10550.725816666667,1.1368683772161603e-13,0.0,True
2025-04-22,2,47827.08687565857,2161.2730516148777,49988.35992727345,61530.37199166666,80e9b21f954d89824f175c6bdf2645b6157d7146a9858320c17fe4f71d7310a6,58962.558280357145,2567.8137113095236,649.7568196428564,7459.385783333333,0.0,0.0,True
2025-04-23,2,47710.55352464708,1980.3020550154733,49690.85557966256,61515.869869642855,a31a3e205e49b114d437302b50ed8a527accb8facb6a3d4b012b17b654273674,58389.93649345238,3125.9333761904745,577.7985898809518,7567.8183666666655,0.0,0.0,True
2025-04-24,2,47288.37242276083,1988.5397600866095,49276.912182847445,60905.96116845237,547997780f01972b53e3a5c56af81053cb129c06816d13c4b70a15c4f5b257df,57591.52776428571,3314.4334041666666,447.0383023809526,10948.459366666666,0.0,0.0,True
2025-04-25,2,24516.834099972082,2164.9199013797615,26681.754001351845,34293.13584880953,8400e46c042c6922c05e4c602e05b9037840f352606ba35a1deaff64e33b1d34,32485.770774999997,1807.3650738095234,503.91340833333317,30989.326533333333,5.684341886080802e-14,0.0,True
2025-04-26,2,24393.03219097262,3421.822649811011,27814.85484078363,34204.965691071426,3c011bf9396cc61d185759915ddb43db3d9490c5cc17d72d9888efd0d143fe63,32676.83346845238,1528.132222619048,808.8993982142855,33415.53923333333,1.1368683772161603e-13,0.0,True
2025-04-27,2,45884.97136610666,7915.372932911014,53800.34429901768,59432.10392321428,b60084fa83e144b7bb77de5052adad2edd574d233803f07e8e7f266b87fabf29,57719.14711428571,1712.9568089285713,1869.8887690476195,11015.564699999999,0.0,0.0,True
2025-04-28,2,45887.2243041497,11222.061503463096,57109.285807612796,59568.21437797618,e0ac57392c0913024a2221b8683d6a0bd2d2ea68cc059c50b2b4098958d1ee09,57964.053310714284,1604.1610672619058,2473.5070892857148,3815.593083333334,0.0,0.0,True
