date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-03-24,M1_M6,A_q2_aligned,1200.0,40307.23174638106,37980.17403606834,2327.0577103127243,693.4627428112428,700.5106813851753,20625.68371983835,18441.850738790024,8417.940767633847,8545.764889038404,64175.82343555914,61707.82235432572,38028.28027555399,1.2789769243681803e-13
2025-03-25,M1_M6,A_q2_aligned,1200.0,43475.41760112015,39885.53749416683,3589.8801069533215,976.6500103299711,15.335233333333306,20642.055330565767,18778.844184243564,8545.764889038404,8333.898202708619,71363.11560866219,62559.616246803314,42496.70452622528,1.7053025658242404e-12
2025-03-26,M1_M6,A_q2_aligned,1200.0,37749.59421762546,36651.685864334664,1097.9083532907944,331.57356571403557,975.3581707445471,19992.11921824148,17950.151558641286,8333.898202708619,8378.96670751302,61230.47172803168,59203.653340743665,36690.168235012905,1.4883100627080256e-13
2025-03-27,M1_M6,A_q2_aligned,1200.0,39698.307554955114,35370.52173370144,4327.78582125367,1482.58308373948,71.36046666666284,15787.053062977062,18368.875892940727,8378.96670751302,3993.384980912578,60490.36389331937,55549.20547184234,36874.25163096716,1.491002402723592e-13
2025-03-28,M1_M6,A_q2_aligned,1200.0,14802.51255777103,14011.130065895306,791.3824918757231,281.16882231877094,15932.842261180322,13923.149509582658,12601.27159803295,3993.384980912578,3919.1378221892132,28370.599358746596,28317.603638089695,14012.707153338348,1.1368683772161603e-13
2025-03-29,M1_M6,A_q2_aligned,1200.0,17398.082685197885,15863.191677695086,1534.8910075027989,430.66516297522946,18793.13979195038,18343.2014994165,12259.122715733176,3919.1378221892132,8398.776751718882,31927.6361638476,32352.000818936867,15286.563820227464,1.1368683772161603e-13
2025-03-30,M1_M6,A_q2_aligned,1200.0,41882.150591902006,35359.01177548847,6523.138816413535,2109.1837780024125,13.641773611109599,20034.02988654381,17945.676551440396,8398.776751718882,8488.322279318658,63441.457900405585,55856.50315241539,37393.66268453941,1.1368683772161603e-13
2025-03-31,M1_M6,A_q2_aligned,1200.0,40409.06123538554,36075.51982704665,4333.541408338893,1324.3744040994068,537.2436813271623,19486.84329076147,17408.11444175971,8488.322279318658,8625.401239381354,54452.63475355197,58741.936728308894,32952.01489985107,1.7053025658242404e-13
2025-04-01,M1_M6,A_q2_aligned,1200.0,42161.845147399574,38177.29939216611,3984.545755233466,1148.423981218457,714.4975763888876,18929.38870089203,17223.381916369945,8625.401239381354,8428.35751999549,67112.92583029554,62656.9089083653,39066.00301216279,1.7053025658242404e-12
2025-04-02,M1_M6,A_q2_aligned,1200.0,41329.84815850367,37547.06282151758,3782.785336986089,1009.1548522920311,448.47109768518305,19445.491500508346,17536.52397793612,8428.35751999549,8390.85119143281,63697.893782356194,63238.53665057392,37508.62378537505,1.4210854715202004e-13
2025-04-03,M1_M6,A_q2_aligned,1200.0,36750.08712544667,34840.57539217891,1909.511733267761,630.9279995000122,838.5910398148175,14960.366206927545,18100.476454665913,8390.85119143281,3503.923300999702,59681.54092055415,53889.66711324843,36695.70694414989,1.1368683772161603e-13
2025-04-04,M1_M6,A_q2_aligned,1200.0,14364.543546899533,12782.771019336018,1581.7725275635148,547.3740715933137,18705.778446916727,13343.898930431818,12111.734347805952,3503.923300999702,3396.1683625208802,26162.019115867384,26191.495561590986,12726.102535555976,1.1368683772161603e-13
2025-04-05,M1_M6,A_q2_aligned,1200.0,23256.524326443316,15284.013450177139,7972.510876266177,2334.195356917173,15053.601988142394,18541.977595337754,11985.955575139044,3396.1683625208802,8352.326303033688,31398.956908399326,31693.895075988672,14899.587975593462,1.1368683772161603e-13
2025-04-06,M1_M6,A_q2_aligned,1200.0,38006.575457284096,35921.698791891664,2084.876665392435,604.8374659736019,1072.9838046296252,19933.043867294153,17857.245199511402,8352.326303033688,8439.282910389224,61279.905358104654,57935.01839445285,35655.36050231739,1.1368683772161603e-13
2025-04-07,M1_M6,A_q2_aligned,1200.0,35677.022825130494,33399.33745825075,2277.6853668797403,704.8010802600716,173.067359722222,19155.478192836315,17230.822101653335,8439.282910389224,8448.883871972565,53277.17084857146,55171.03639430546,31457.837233863647,1.1368683772161603e-13
2025-04-08,M1_M6,A_q2_aligned,1200.0,39596.5671407574,35319.21494462028,4277.352196137119,1059.2954392210652,894.5696283950622,19711.163655223718,17917.810937948278,8448.883871972565,8261.504534092132,61973.85178583896,56880.02821319865,36711.33492100492,1.1368683772161603e-13
2025-04-09,M1_M6,A_q2_aligned,1200.0,40344.718214604625,36726.713123146255,3618.005091458366,962.7296354512268,642.1188622661999,20281.99124923969,18192.470395844688,8261.504534092132,8326.14331143442,60654.97743805885,61834.24744846609,35766.447845340954,1.1368683772161603e-13
2025-04-10,M1_M6,A_q2_aligned,1200.0,37121.49628444865,32925.66846362654,4195.827820822108,1115.8554443758144,500.9468690774661,14815.15796316056,17990.765569874893,8326.14331143442,3417.1042120843076,53569.417309902405,52211.34000255629,33161.48731894487,2.2737367544323206e-13
2025-04-11,M1_M6,A_q2_aligned,1200.0,17089.548027843313,12204.101659979879,4885.446367863436,1372.3482727283188,19771.64645815902,12976.62941292964,12110.167577734483,3417.1042120843076,2962.5783371333105,24530.354643809806,24928.093447510488,11689.40523737248,1.1368683772161603e-13
2025-04-12,M1_M6,A_q2_aligned,1200.0,17031.43308227866,15255.149128269708,1776.2839540089526,589.1244068530699,15575.413541069254,18371.520971677903,11333.271486663847,2962.5783371333105,8445.01636311543,32002.548148672602,31514.61295432874,15381.572960261989,1.1368683772161603e-13
2025-04-13,M1_M6,A_q2_aligned,1200.0,36484.001779246486,33480.43972395593,3003.562055290554,760.8546485475649,175.76372993827192,19636.636893214178,17636.46439683457,8445.01636311543,8483.5000247686,56171.194864627774,56295.04841181281,33035.701824285774,2.2737367544323206e-13
2025-04-14,M1_M6,A_q2_aligned,1200.0,41322.33085527322,33269.32406845277,8053.006786820452,2272.0129808651645,1563.1100479194415,18495.06092154233,16741.473194774793,8483.5000247686,8382.39319008119,59259.4968911929,53801.03002734085,35159.52990094102,1.1368683772161603e-13
2025-04-15,M1_M6,A_q2_aligned,1200.0,36613.502893464465,31934.58119108504,4678.921702379429,1122.7558219837474,778.9955342592577,18308.40739996943,16373.027672286982,8382.39319008119,8492.586958539348,51035.622199802616,52853.92610389163,30199.872043034236,1.1368683772161603e-13
2025-04-16,M1_M6,A_q2_aligned,1200.0,37945.14617394148,34257.42082327396,3687.725350667519,1119.1778124204466,90.82629166666754,18966.592448039788,17258.671779360197,8492.586958539348,8293.639030909302,57477.705245266865,57081.06653893556,33270.68535267125,1.1368683772161603e-13
2025-04-17,M1_M6,A_q2_aligned,1200.0,36242.67111648262,31267.61635284121,4975.054763641409,1302.9601723479593,282.3630577868814,13351.240261252948,16937.174997979775,8293.639030909302,3106.387634194935,46061.350748358476,49137.425592092535,28912.367668877265,1.7053025658242404e-13
2025-04-18,M1_M6,A_q2_aligned,1200.0,15864.991270126404,11834.531671185561,4030.4595989408435,1280.9873136819313,18256.117993634023,12887.662838323486,11718.206720107213,3106.387634194935,2980.6236770753635,24566.464711562352,24675.87179442968,11696.512298453788,1.1368683772161603e-13
2025-04-19,M1_M6,A_q2_aligned,1200.0,16075.45109031617,14633.41374045148,1442.03734986469,536.1243273263304,17083.33430057847,18356.811267718374,11436.510272206195,2980.6236770753635,8340.283617530646,30369.631129133948,30891.359434155063,13906.379828066341,1.1368683772161603e-13
2025-04-20,M1_M6,A_q2_aligned,1200.0,35625.84712216076,32726.04368355156,2899.803438609203,988.7353821698807,188.69007083333383,19458.968516508237,17255.643335581553,8340.283617530646,8611.636902451817,52653.07508865185,54233.43630985417,31280.848603878003,1.1368683772161603e-13
2025-04-21,M1_M6,A_q2_aligned,1200.0,36429.13905013524,31536.4224725589,4892.71657757634,1320.2412877396055,2809.473691947054,17620.310627035564,16136.106748180042,8611.636902451817,8318.78133682844,55830.88726431751,51764.47285390213,32703.757953460503,1.1368683772161603e-13
2025-04-22,M1_M6,A_q2_aligned,1200.0,37515.35593263521,32438.44233771527,5076.913594919942,1563.929654733468,225.51233472222245,18478.526278582394,16546.68935620402,8318.78133682844,8407.308556283782,51448.03638367082,53716.87046966478,30232.03235443817,1.1368683772161603e-13
2025-04-23,M1_M6,A_q2_aligned,1200.0,36843.99604735925,32813.348358325966,4030.6476890332815,1195.4639868254335,1080.0231237654284,18248.213791115326,16416.658827619205,8407.308556283782,8414.406377441192,49245.668861285565,53618.8366691637,29167.620471180893,1.1368683772161603e-13
