date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-06-21,16923.15455005912,0.0,16923.15455005912,31438.2995720484,0.0,10839.997537461184,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.0044694580137729645,True
2025-06-22,42450.912915414774,0.0,42450.912915414774,69560.60024940202,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004625750007107854,True
2025-06-23,42759.13995845423,0.0,42759.13995845423,69241.83122903165,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004674417024943978,True
2025-06-24,48259.00916620436,0.0,48259.00916620436,78677.33329139664,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004739708005217835,True
2025-06-25,43933.81936814738,0.0,43933.81936814738,72675.97695310574,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.00476816701120697,True
2025-06-26,42448.190404549045,0.0,42448.190404549045,69710.70097658184,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004846166004426777,True
2025-06-27,16827.894015371156,0.0,16827.894015371156,30805.282622048395,0.0,9780.38752079452,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.004425874998560175,True
2025-06-28,16942.676474469303,0.0,16942.676474469303,31340.36653686321,0.0,8307.712720794516,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004653500014683232,True
2025-06-29,43223.1203822017,0.0,43223.1203822017,71392.24400643905,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004859333974309266,True
2025-06-30,43657.29669804901,0.0,43657.29669804901,72049.598761767,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.004813083010958508,True
