date,n_adjusted_periods,normal_cost_yuan,emergency_cost_yuan,adjustment_delivery_yuan,adjustment_update_clock_yuan,total_delivery_yuan,total_update_clock_yuan,adjustment_gap_yuan,ledger_matches_delivery
2025-04-22,25,32763.49865746447,4465.64825485663,749.744553350792,850.8425469223564,37978.8914656719,38079.98945924346,101.09799357156442,True
2025-04-23,30,30550.858713878413,3592.675069921489,1135.9224901902535,1163.1594790722684,35279.45627399015,35306.69326287217,27.236988882014884,True
2025-04-24,26,30827.805757890892,2284.278398361387,862.125912007167,650.7810884351627,33974.21006825945,33762.86524468744,-211.34482357200432,True
2025-04-25,11,10391.760541644122,2066.475821743584,174.82558288019996,93.15675107763613,12633.061946267906,12551.393114465343,-81.66883180256383,True
2025-04-26,10,10794.801117754605,1174.9719836362428,83.71624172030661,39.95289071754891,12053.489343111156,12009.725992108397,-43.7633510027577,True
2025-04-27,22,28752.81653745011,4779.036111501882,893.8013125065947,984.1308729487482,34425.653961458585,34515.98352190074,90.32956044215348,True
2025-04-28,31,35291.6156509764,2416.530305797455,1271.2077222517312,1612.0224576838154,38979.35367902558,39320.16841445767,340.81473543208426,True
2025-04-29,29,30397.617325638505,2728.9746817193186,900.6388197389815,876.7955621353415,34027.230827096806,34003.38756949316,-23.84325760364004,True
2025-04-30,7,29668.293259152033,3871.2767557446778,379.9404012377712,479.8564991381901,33919.510416134486,34019.4265140349,99.91609790041889,True
2025-05-01,22,29982.154227532184,16845.995700162868,987.0551956644128,1009.3169155489844,47815.20512335947,47837.46684324404,22.261719884571562,True
2025-05-02,11,11923.272004751247,9640.808559583304,42.53806725722302,25.739279656822696,21606.618631591773,21589.819843991372,-16.798787600400324,True
2025-05-03,10,10935.994663413761,10076.779045299347,14.190635578347262,10.584536532985718,21026.964344291457,21023.358245246094,-3.6060990453615442,True
2025-05-04,26,28615.04386370314,19344.182576376414,1098.6230388532354,1123.4691844129384,49057.849478932796,49082.695624492495,24.846145559703018,True
2025-05-05,6,32248.666986106135,17453.360626197642,273.9319793278449,143.31577719683224,49975.95959163162,49845.3433895006,-130.61620213101264,True
2025-05-06,22,31739.888558560666,17651.34112599602,879.7705573214786,1042.6078920552952,50271.00024187816,50433.83757661198,162.83733473381665,True
2025-05-07,15,35066.03586909201,15998.532469397054,772.9412764022935,983.8667617253897,51837.50961489136,52048.43510021446,210.92548532309615,True
2025-05-08,30,29958.12956103566,14379.096918480256,773.714371092203,964.628015365917,45110.94085060812,45301.85449488184,190.913644273714,True
2025-05-09,15,10562.920619980632,8893.690374895594,190.75718541213925,177.32503731724677,19647.368180288366,19633.936032193473,-13.432148094892483,True
2025-05-10,10,12371.16369531823,8285.693073047234,124.59500197230479,60.165609282711955,20781.45177033777,20717.02237764818,-64.42939268959283,True
2025-05-11,28,30399.071497453642,15936.15960428867,622.7319714870529,461.450355773173,46957.96307322937,46796.681457515486,-161.2816157138799,True
2025-05-12,31,31667.728383199392,12377.330942190727,1624.0565877324132,1833.134686755703,45669.11591312253,45878.19401214582,209.07809902328972,True
2025-05-13,29,32738.877653768093,10594.955886489335,1286.655929449264,1749.7681750807037,44620.48946970669,45083.60171533813,463.1122456314397,True
2025-05-14,29,32550.67106269319,12880.88922348778,1310.053049853725,1501.25966995342,46741.6133360347,46932.81995613439,191.20662009969487,True
2025-05-15,25,30386.52641983635,7518.875699976124,1038.243440353323,1204.8550698259746,38943.645560165794,39110.257189638454,166.61162947265166,True
2025-05-16,12,9492.414226568577,6568.719620688373,249.18535378260634,205.46954941944793,16310.319201039556,16266.6033966764,-43.71580436315841,True
2025-05-17,15,12599.523897111172,7781.631498703786,64.04133398368313,59.16085513247331,20445.19672979864,20440.316250947428,-4.880478851209823,True
2025-05-18,30,29139.898143216134,7643.770957601161,817.3007180662805,791.803660149395,37600.969818883575,37575.472760966695,-25.497057916885524,True
2025-05-19,18,32725.0553215809,7142.687767960036,306.3015711115336,125.67098341505678,40174.04466065248,39993.414072955995,-180.6305876964768,True
2025-05-20,19,31983.21788387865,9693.903435898937,1167.4195844342398,1636.1002847444795,42844.540904211826,43313.22160452207,468.6807003102397,True
2025-05-21,35,34028.801957136435,8112.6405530419415,1424.1748062741908,1779.1397956032324,43565.61731645257,43920.582305781616,354.9649893290416,True
2025-05-22,7,30324.784470077204,4966.131767287328,242.1098329283269,224.62405893262758,35533.02607029286,35515.54029629716,-17.485773995699333,True
2025-05-23,12,10535.149995242931,2839.059532783466,234.40782613839505,111.73951850118704,13608.617354164791,13485.949046527585,-122.66830763720802,True
2025-05-24,13,12828.9456208757,2734.25192491523,92.85108427268148,31.535785385943463,15656.048630063611,15594.733331176873,-61.31529888673801,True
2025-05-25,24,28515.494936218194,6233.008429246403,370.398619719054,269.97014453994615,35118.90198518365,35018.47351000454,-100.42847517910786,True
2025-05-26,26,35177.45742735223,5328.549263820562,2241.0423585539006,2622.3973518535613,42747.049049726695,43128.404043026356,381.3549932996607,True
2025-05-27,31,31590.93528662141,6680.563266999609,805.9225680630383,1383.3810743165914,39077.421121684056,39654.87962793761,577.4585062535531,True
2025-05-28,23,33737.76217594325,3678.804898920645,484.49104359685373,445.31542918549167,37901.05811846075,37861.88250404938,-39.17561441136206,True
2025-05-29,16,33533.79671866487,6278.40607403359,874.6089151644294,1317.9644560128593,40686.81170786289,41130.167248711325,443.3555408484299,True
2025-05-30,15,11280.918337026324,1858.0096731976264,125.32570858762458,71.03068936433694,13264.253718811573,13209.958699588286,-54.29501922328764,True
2025-05-31,13,12675.530127940096,887.8673910951205,300.40613858571254,112.24584414656798,13863.803657620929,13675.643363181785,-188.16029443914456,True
2025-06-01,31,40581.56187868801,34378.227222872665,1386.716625396382,1151.8790791309798,76346.50572695705,76111.66818069165,-234.83754626540212,True
2025-06-02,36,41176.957518380266,34279.019752785985,2793.186787527982,2997.545650088575,78249.16405869424,78453.52292125483,204.35886256059302,True
2025-06-03,37,43466.91753358189,29626.285383229166,537.6385891130931,581.5473431371738,73630.84150592414,73674.75025994821,43.908754024080736,True
2025-06-04,42,42476.963371375416,27285.01947881382,3419.831619133639,4384.488244246242,73181.81446932288,74146.47109443549,964.6566251126033,True
2025-06-05,38,42379.5707996834,36420.45195199546,1062.2860748819783,923.9490377292766,79862.30882656084,79723.97178940816,-138.33703715270167,True
2025-06-06,6,13811.789462229171,29348.81179371559,192.6339471309277,182.27211258589583,43353.23520307569,43342.87336853066,-10.361834545031883,True
2025-06-07,19,17656.396319414616,22980.896236828776,972.9512311919316,1243.6754002948117,41610.24378743533,41880.9679565382,270.72416910288007,True
